Ten_xe,Nam_san_xuat,So_km,Xuat_xu,Kieu_dang,Hop_so,Dong_co,Mau_ngoai_that,Mau_noi_that,So_cho_ngoi,Dan_dong,Gia_ban_text,Gia_ban,Link
Mercedes Benz E class E250,2017,"59,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Xanh,Đen,5 chỗ,RFD - Dẫn động cầu sau,860 Triệu,860000000,https://bonbanh.com/xe-mercedes_benz-e_class-e250-2017-6474196
Lexus ES,2021,"40,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.5 L,Đen,Nâu,5 chỗ,FWD - Dẫn động cầu trước,2 Tỷ 45 Triệu,2045000000,https://bonbanh.com/xe-lexus-es-250-2021-6388164
Ford Escape XLS,2011,"110,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.3 L,Đen,Ghi,5 chỗ,FWD - Dẫn động cầu trước,225 Triệu,225000000,https://bonbanh.com/xe-ford-escape-xls-2.3l-4x2-at-2011-6365493
Ford Escape XLS,2011,"110,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.3 L,Đen,Ghi,5 chỗ,FWD - Dẫn động cầu trước,225 Triệu,225000000,https://bonbanh.com/xe-ford-escape-xls-2.3l-4x2-at-2011-6365493
Audi Q5,2017,"89,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,999 Triệu,999000000,https://bonbanh.com/xe-audi-q5-2.0-at-2017-5909920
Mercedes Benz GLS 4Matic,2022,"85,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Đen,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,3 Tỷ 899 Triệu,3899000000,https://bonbanh.com/xe-mercedes_benz-gls-450-4matic-2022-6399100
Mercedes Benz C class C200,2019,"95,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,RFD - Dẫn động cầu sau,789 Triệu,789000000,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2019-6458584
Audi Q5,2017,"89,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,999 Triệu,999000000,https://bonbanh.com/xe-audi-q5-2.0-at-2017-5834868
Ford Everest,2008,"139,900 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu 2.5 L,Bạc,Kem,7 chỗ,RFD - Dẫn động cầu sau,205 Triệu,205000000,https://bonbanh.com/xe-ford-everest-2.5l-4x2-at-2008-6464263
Mercedes Benz GLS 4Matic,2022,"40,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Đen,Kem,7 chỗ,AWD - 4 bánh toàn thời gian,4 Tỷ 199 Triệu,4199000000,https://bonbanh.com/xe-mercedes_benz-gls-450-4matic-2022-6479064
Mercedes Benz G class G63 AMG,2022,"17,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 4.0 L,Trắng,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,9 Tỷ 900 Triệu,9900000000,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2022-6435139
Kia Sorento DATH,2015,"120,000 Km",Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Đen,Đen,7 chỗ,FWD - Dẫn động cầu trước,485 Triệu,485000000,https://bonbanh.com/xe-kia-sorento-dath-2015-6385639
LandRover Range Rover Vogue LWB I6,2019,"70,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,5 Tỷ 690 Triệu,5690000000,https://bonbanh.com/xe-landrover-range_rover-vogue-lwb-3.0-i6-2019-6354217
Mercedes Benz GLC 4Matic,2020,"70,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đỏ,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 450 Triệu,1450000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2020-6207761
Lexus ES,2021,"40,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.5 L,Đen,Nâu,5 chỗ,FWD - Dẫn động cầu trước,2 Tỷ 45 Triệu,2045000000,https://bonbanh.com/xe-lexus-es-250-2021-6426009
Porsche Macan,2023,"7,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,3 Tỷ 489 Triệu,3489000000,https://bonbanh.com/xe-porsche-macan-2.0-2023-6480680
Porsche Panamera Executive,2018,"89,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 3.0 L,Xám,Đỏ,4 chỗ,RFD - Dẫn động cầu sau,3 Tỷ 489 Triệu,3489000000,https://bonbanh.com/xe-porsche-panamera-4-executive-2018-6480488
Mercedes Benz S class S450L Luxury,2017,"110,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Đen,Đen,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 850 Triệu,1850000000,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-luxury-2017-6480476
Mitsubishi Lancer,2005,"138,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,FWD - Dẫn động cầu trước,145 Triệu,145000000,https://bonbanh.com/xe-mitsubishi-lancer-2.0-at-2005-6482581
BMW X5 xDrive40i M Sport,2022,"31,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 3.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 888 Triệu,2888000000,https://bonbanh.com/xe-bmw-x5-xdrive40i-m-sport-2022-6480450
Kia Morning Si,2017,"110,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.25 L,Xanh,Kem,5 chỗ,FWD - Dẫn động cầu trước,265 Triệu,265000000,https://bonbanh.com/xe-kia-morning-si-at-2017-6480230
Mazda CX8 Luxury,2020,"80,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đỏ,Nâu,7 chỗ,FWD - Dẫn động cầu trước,690 Triệu,690000000,https://bonbanh.com/xe-mazda-cx8-luxury-2020-6458474
Lexus RX,2022,"32,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Xanh,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 979 Triệu,2979000000,https://bonbanh.com/xe-lexus-rx-300-2022-6423163
Mercedes Benz S class S450L Luxury,2017,"110,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Đen,Đen,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 850 Triệu,1850000000,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-luxury-2017-6480476
Mitsubishi Lancer,2005,"138,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,FWD - Dẫn động cầu trước,145 Triệu,145000000,https://bonbanh.com/xe-mitsubishi-lancer-2.0-at-2005-6482581
BMW X5 xDrive40i M Sport,2022,"31,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 3.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 888 Triệu,2888000000,https://bonbanh.com/xe-bmw-x5-xdrive40i-m-sport-2022-6480450
Kia Morning Si,2017,"110,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.25 L,Xanh,Kem,5 chỗ,FWD - Dẫn động cầu trước,265 Triệu,265000000,https://bonbanh.com/xe-kia-morning-si-at-2017-6480230
Mazda CX8 Luxury,2020,"80,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đỏ,Nâu,7 chỗ,FWD - Dẫn động cầu trước,690 Triệu,690000000,https://bonbanh.com/xe-mazda-cx8-luxury-2020-6458474
Lexus RX,2022,"32,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Xanh,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 979 Triệu,2979000000,https://bonbanh.com/xe-lexus-rx-300-2022-6423163
Mercedes Benz GLC 4Matic,2017,"65,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,939 Triệu,939000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2017-6212563
Mercedes Benz G class G63 AMG,2021,"50,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 4.0 L,Đen,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,8 Tỷ 399 Triệu,8399000000,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2021-6456963
Porsche Macan,2015,"100,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Trắng,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 299 Triệu,1299000000,https://bonbanh.com/xe-porsche-macan-2.0-2015-6370518
Porsche Cayenne V6,2023,"3,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Xám,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,6 Tỷ 550 Triệu,6550000000,https://bonbanh.com/xe-porsche-cayenne-3.0-v6-2023-6405505
Honda CRV L,2019,"55,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.5 L,Đỏ,Đen,7 chỗ,FWD - Dẫn động cầu trước,735 Triệu,735000000,https://bonbanh.com/xe-honda-crv-l-2019-6390412
Mercedes Benz GLC 4Matic,2020,"70,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đỏ,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 450 Triệu,1450000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2020-6185777
Mercedes Benz GLC 4Matic,2024,"1,799 Km",Lắp ráp trong nước,SUV,Số tự động,Hybrid 2.0 L,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 489 Triệu,2489000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2024-6481869
Lexus NX,2017,"40,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Đỏ,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 579 Triệu,1579000000,https://bonbanh.com/xe-lexus-nx-300-2017-6429486
Mercedes Benz GLC 4Matic,2018,"65,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 30 Triệu,1030000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2018-6230416
Hyundai i10 Grand,2021,"42,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.25 L,Trắng,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,340 Triệu,340000000,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2021-6459859
Mazda CX5,2017,"110,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Nâu,Đen,5 chỗ,FWD - Dẫn động cầu trước,499 Triệu,499000000,https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2017-6406270
Mercedes Benz GLS 4Matic,2016,"83,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Trắng,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 660 Triệu,1660000000,https://bonbanh.com/xe-mercedes_benz-gls-400-4matic-2016-6341023
Ford Ranger Wildtrak,2017,"90,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 3.2 L,Ghi,Nhiều màu,5 chỗ,4WD - Dẫn động 4 bánh,565 Triệu,565000000,https://bonbanh.com/xe-ford-ranger-wildtrak-3.2l-4x4-at-2017-6376181
Mercedes Benz E class E300 AMG,2017,"62,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Nâu,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 60 Triệu,1060000000,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2017-6473465
Mercedes Benz E class E300 AMG,2017,"62,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Nâu,5 chỗ,RFD - Dẫn động cầu sau,1 Tỷ 60 Triệu,1060000000,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2017-6473465
Toyota Vios E,2023,"30,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,420 Triệu,420000000,https://bonbanh.com/xe-toyota-vios-e-cvt-2023-6400817
Porsche Cayenne V6,2023,"2,999 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Xám,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,6 Tỷ 550 Triệu,6550000000,https://bonbanh.com/xe-porsche-cayenne-3.0-v6-2023-6393762
Mercedes Benz GLC 4Matic,2016,"90,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,745 Triệu,745000000,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2016-6375906
Porsche Panamera V6,2021,"40,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 3.0 L,Trắng,Kem,4 chỗ,RFD - Dẫn động cầu sau,4 Tỷ 850 Triệu,4850000000,https://bonbanh.com/xe-porsche-panamera-3.0-v6-2021-6461977
Porsche Taycan Base,2021,"19,000 Km",Nhập khẩu,Sedan,Số tự động,Điện,Trắng,Đen,4 chỗ,RFD - Dẫn động cầu sau,3 Tỷ 899 Triệu,3899000000,https://bonbanh.com/xe-porsche-taycan-base-2021-6385692
Mercedes Benz GLC 4Matic Coupe,2021,"69,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 80 Triệu,2080000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-coupe-2021-6460477
BMW Series 735i Pure Excellence,2023,"18,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 3.0 L,Trắng,Nâu,5 chỗ,RFD - Dẫn động cầu sau,4 Tỷ 599 Triệu,4599000000,https://bonbanh.com/xe-bmw-7_series-735i-pure-excellence-2023-6333318
BMW Series 430i Convertible M Sport,2023,"11,000 Km",Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng 2.0 L,Xanh,Nâu,4 chỗ,RFD - Dẫn động cầu sau,2 Tỷ 799 Triệu,2799000000,https://bonbanh.com/xe-bmw-4_series-430i-convertible-m-sport-2023-6460265
Porsche Macan,2015,"96,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Trắng,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 299 Triệu,1299000000,https://bonbanh.com/xe-porsche-macan-2.0-2015-6177949
Lexus RX,2021,"35,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 880 Triệu,2880000000,https://bonbanh.com/xe-lexus-rx-300-2021-6385949
Mercedes Benz GLC 4Matic,2021,"69,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 399 Triệu,1399000000,https://bonbanh.com/xe-mercedes_benz-glc-200-4matic-2021-6407228
Lexus LX,2014,"160,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 5.7 L,Đen,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,3 Tỷ 150 Triệu,3150000000,https://bonbanh.com/xe-lexus-lx-570-2014-6420817
Lexus RX,2022,"20,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Đỏ,Cam,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 895 Triệu,2895000000,https://bonbanh.com/xe-lexus-rx-300-2022-6395580
Lexus RX F Sport,2019,7 Km,Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Trắng,Đỏ,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 790 Triệu,2790000000,https://bonbanh.com/xe-lexus-rx-350-f-sport-2019-6363125
Ford Ranger XLS,2021,0 Km,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.2 L,Trắng,Đen,5 chỗ,RFD - Dẫn động cầu sau,560 Triệu,560000000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2021-6471112
VinFast VF5 Plus,2025,"10,000 Km",Lắp ráp trong nước,SUV,Số tự động,Điện,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,456 Triệu,456000000,https://bonbanh.com/xe-vinfast-vf5-plus-2025-6472033
LandRover Range Rover HSE,2015,"90,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Vàng,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 200 Triệu,2200000000,https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2015-6333313
Lexus RX,2019,"80,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,2 Tỷ 880 Triệu,2880000000,https://bonbanh.com/xe-lexus-rx-350-2019-6406165
VinFast VF9 Plus,2023,"13,500 Km",Lắp ráp trong nước,SUV,Số tự động,Điện 0.2 L,Trắng,Đen,7 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 99 Triệu,1099000000,https://bonbanh.com/xe-vinfast-vf9-plus-2023-6386110
Kia Carens,2007,"120,000 Km",Nhập khẩu,Crossover,Số tay,Xăng 2.0 L,Xanh,Kem,7 chỗ,FWD - Dẫn động cầu trước,155 Triệu,155000000,https://bonbanh.com/xe-kia-carens-2.0-mt-2007-6473544
Mercedes Benz GLC 4Matic,2021,"50,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 630 Triệu,1630000000,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-6375244
Mazda Luxury,2023,"40,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,560 Triệu,560000000,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2023-6446362
Toyota Fortuner,2022,"23,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.7 L,Đen,Đen,7 chỗ,RFD - Dẫn động cầu sau,935 Triệu,935000000,https://bonbanh.com/xe-toyota-fortuner-2.7l-4x2-at-2022-6461696
Mercedes Benz C class C180,2020,"30,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Xanh,Kem,5 chỗ,RFD - Dẫn động cầu sau,790 Triệu,790000000,https://bonbanh.com/xe-mercedes_benz-c_class-c180-2020-6361028
Toyota Wigo .2G,2018,"62,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng 1.2 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,265 Triệu,265000000,https://bonbanh.com/xe-toyota-wigo-1.2g-at-2018-6477513
VinFast Fadil Tiêu chuẩn,2022,"40,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.4 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,340 Triệu,340000000,https://bonbanh.com/xe-vinfast-fadil-tieu-chuan-1.4-at-2022-6235122
Nissan Navara EL Premium R,2019,"98,765 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.5 L,Xám,Kem,5 chỗ,RFD - Dẫn động cầu sau,444 Triệu,444000000,https://bonbanh.com/xe-nissan-navara-el-premium-r-2019-6450765
Ford Territory Titanium X,2024,"7,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 1.5 L,Trắng,Nâu,5 chỗ,FWD - Dẫn động cầu trước,835 Triệu,835000000,https://bonbanh.com/xe-ford-territory-titanium-x-1.5-at-2024-6423520
Honda City,2019,"90,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Trắng,Đen,5 chỗ,FWD - Dẫn động cầu trước,380 Triệu,380000000,https://bonbanh.com/xe-honda-city-1.5-2019-6362853
Mercedes Benz C class C300 AMG,2019,"70,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,RFD - Dẫn động cầu sau,988 Triệu,988000000,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2019-6471821
Kia Morning SLX,2008,0 Km,Nhập khẩu,Hatchback,Số tự động,Xăng 1.0 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,125 Triệu,125000000,https://bonbanh.com/xe-kia-morning-slx-1.0-at-2008-6483452
Nissan Teana,2010,"132,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5 chỗ,FWD - Dẫn động cầu trước,259 Triệu,259000000,https://bonbanh.com/xe-nissan-teana-2.0-at-2010-6465066
Honda City RS,2021,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,445 Triệu,445000000,https://bonbanh.com/xe-honda-city-rs-1.5-at-2021-6471476
Kia Carnival Premium .2D 8S,2024,"20,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Trắng,Xám,8 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 395 Triệu,1395000000,https://bonbanh.com/xe-kia-carnival-premium-2.2d-8s-2024-6470481
Kia Soluto Deluxe,2021,"34,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.4 L,Trắng,Nhiều màu,5 chỗ,FWD - Dẫn động cầu trước,345 Triệu,345000000,https://bonbanh.com/xe-kia-soluto-1.4-at-deluxe-2021-6475424
Mitsubishi Outlander Premium,2020,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đỏ,Đen,7 chỗ,FWD - Dẫn động cầu trước,655 Triệu,655000000,https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-premium-2020-6240754
Kia Carnival Premium .2D,2022,"59,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Xám,Kem,8 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 80 Triệu,1080000000,https://bonbanh.com/xe-kia-carnival-premium-2.2d-2022-6429960
Volvo XC60 T6 Inscription,2020,"66,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 2.0 L,Trắng,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,1 Tỷ 320 Triệu,1320000000,https://bonbanh.com/xe-volvo-xc60-t6-awd-inscription-2020-6482487
BMW Series 740Li,2018,"64,939 Km",Nhập khẩu,Sedan,Số tự động,Xăng 3.0 L,Trắng,Kem,5 chỗ,RFD - Dẫn động cầu sau,2 Tỷ 350 Triệu,2350000000,https://bonbanh.com/xe-bmw-7_series-740li-2018-6319714
Mitsubishi Outlander,2022,"76,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Trắng,Đen,7 chỗ,FWD - Dẫn động cầu trước,675 Triệu,675000000,https://bonbanh.com/xe-mitsubishi-outlander-2.0-cvt-2022-6254942
Porsche Panamera,2010,"84,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 3.6 L,Trắng,Kem,4 chỗ,RFD - Dẫn động cầu sau,845 Triệu,845000000,https://bonbanh.com/xe-porsche-panamera-4-2010-6468892
Ford Everest Titanium Plus,2022,"60,000 Km",Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Trắng,Đen,7 chỗ,4WD - Dẫn động 4 bánh,1 Tỷ 250 Triệu,1250000000,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2022-6427974
Mercedes Benz E class E200,2018,"60,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Trắng,Đen,5 chỗ,RFD - Dẫn động cầu sau,990 Triệu,990000000,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2018-6293844
Mitsubishi Attrage,2022,"45,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 1.2 L,Đỏ,Đen,5 chỗ,FWD - Dẫn động cầu trước,359 Triệu,359000000,https://bonbanh.com/xe-mitsubishi-attrage-1.2-cvt-2022-6471649
Mercedes Benz E class E250,2012,"99,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Đen,Đen,5 chỗ,RFD - Dẫn động cầu sau,370 Triệu,370000000,https://bonbanh.com/xe-mercedes_benz-e_class-e250-2012-6250414
Toyota Corolla LE,2007,"182,500 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng 1.8 L,Đen,Vàng,5 chỗ,FWD - Dẫn động cầu trước,172 Triệu,172000000,https://bonbanh.com/xe-toyota-corolla-le-1.8-mt-2007-6485174
Mercedes Benz C class C200,2019,"90,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đỏ,Nâu,5 chỗ,RFD - Dẫn động cầu sau,770 Triệu,770000000,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2019-6360852
BMW Series 528i GT,2015,"14,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Đen,Kem,5 chỗ,RFD - Dẫn động cầu sau,990 Triệu,990000000,https://bonbanh.com/xe-bmw-5_series-528i-gt-2015-6375630
Mercedes Benz Maybach S400,2016,"54,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng 3.0 L,Đen,Nâu,5 chỗ,RFD - Dẫn động cầu sau,2 Tỷ 450 Triệu,2450000000,https://bonbanh.com/xe-mercedes_benz-maybach-s400-2016-6446016
BMW X7 xDrive40i,2022,"46,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Bạc,Nâu,7 chỗ,AWD - 4 bánh toàn thời gian,4 Tỷ 899 Triệu,4899000000,https://bonbanh.com/xe-bmw-x7-xdrive40i-2022-6479119
Toyota Vios .5E,2016,"120,000 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng 1.5 L,Bạc,Kem,5 chỗ,FWD - Dẫn động cầu trước,255 Triệu,255000000,https://bonbanh.com/xe-toyota-vios-1.5e-2016-6085905
Bentley Bentayga V8,2021,"6,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 4.0 L,Đen,Nâu,5 chỗ,AWD - 4 bánh toàn thời gian,12 Tỷ 900 Triệu,12900000000,https://bonbanh.com/xe-bentley-bentayga-4.0-v8-2021-6258263
Toyota Yaris .5G,2020,"60,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng 1.5 L,Trắng,Kem,5 chỗ,FWD - Dẫn động cầu trước,495 Triệu,495000000,https://bonbanh.com/xe-toyota-yaris-1.5g-2020-6389218
Kia Carnival Signature .2D,2022,"50,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Trắng,Cam,7 chỗ,FWD - Dẫn động cầu trước,1 Tỷ 189 Triệu,1189000000,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2022-6419447
Honda CRV L,2018,"70,000 Km",Nhập khẩu,SUV,Số tự động,Xăng 1.5 L,Trắng,Đen,7 chỗ,FWD - Dẫn động cầu trước,748 Triệu,748000000,https://bonbanh.com/xe-honda-crv-l-2018-6012155
